//X,Y,Z,M3C2 distance,R,G,B,Nx,Ny,Nz
47458.094,36019.609,2051.410,1.124,44,38,48,-0.216150,0.224307,0.950245
47451.094,36024.313,2041.362,1.618,16,10,14,-0.407678,0.810559,0.420468
47450.324,36024.980,2038.579,1.737,16,11,15,-0.502563,0.815686,0.286508
47449.723,36025.363,2037.224,1.593,17,11,17,-0.536071,0.766047,0.354682
47447.895,36026.465,2032.385,1.166,19,14,18,-0.536570,0.780029,0.321942
47453.328,36023.430,2046.969,1.587,24,18,21,-0.187198,0.935989,0.298130
47453.223,36023.730,2045.168,1.570,17,11,16,-0.574844,0.625417,0.527643
47452.309,36023.980,2044.104,1.508,21,18,30,-0.450327,0.647869,0.614387
47452.078,36024.160,2043.510,1.508,19,19,30,-0.453439,0.836758,0.306967
47453.383,36023.578,2046.358,1.540,23,18,22,-0.488384,0.868395,0.085854
47457.109,36020.980,2050.417,1.483,41,36,42,-0.214056,0.450565,0.866701
47459.711,36019.719,2051.449,1.007,43,40,52,-0.032265,0.213906,0.976321
47458.848,36020.508,2051.165,1.269,35,28,36,0.003766,0.340228,0.940335
47450.797,36026.313,2036.596,1.506,16,11,15,-0.521688,0.806815,0.277294
47456.441,36021.805,2049.831,1.573,29,25,30,-0.138389,0.499657,0.855097
47455.957,36022.148,2049.561,1.589,22,19,26,-0.101238,0.500484,0.859806
47452.801,36024.586,2043.417,1.768,18,11,15,-0.400221,0.892802,0.206708
47453.996,36024.086,2045.536,1.748,19,12,17,-0.464772,0.774620,0.428895
47450.801,36025.297,2038.613,1.737,16,11,14,-0.567911,0.719355,0.400007
47457.188,36021.676,2050.056,1.550,36,31,37,-0.222739,0.477297,0.850044
47453.215,36024.520,2044.424,1.770,19,14,21,-0.450530,0.813501,0.367747
47458.516,36021.070,2050.930,1.358,35,28,34,-0.254362,0.494850,0.830917
47446.926,36028.063,2027.566,0.643,19,14,18,-0.661564,0.699823,0.269408
47447.258,36027.883,2028.595,0.794,19,13,17,-0.630626,0.663730,0.402210
47453.008,36025.117,2041.224,1.874,18,10,13,-0.205975,0.751113,0.627218
47453.652,36024.711,2042.087,1.888,18,11,15,-0.039537,0.976456,0.212065
47454.391,36024.137,2045.898,1.723,19,13,18,-0.328629,0.903361,0.275577
47456.668,36023.164,2049.105,1.622,24,19,24,-0.229212,0.524571,0.819931
47453.719,36025.367,2041.152,1.878,18,12,15,-0.133204,0.677996,0.722896
47456.250,36023.160,2048.922,1.617,23,18,23,-0.365386,0.617715,0.696363
47460.824,36020.363,2051.304,0.985,30,26,34,0.061884,0.205065,0.976790
47459.926,36020.773,2051.186,1.039,25,23,30,-0.181084,0.240104,0.953708
47448.133,36027.445,2030.456,1.007,18,12,15,-0.574986,0.737872,0.353462
47453.512,36024.848,2043.565,1.851,17,13,16,-0.289697,0.957099,-0.006112
47457.555,36023.027,2049.343,1.610,30,26,31,-0.192018,0.474835,0.858872
47454.742,36024.441,2045.513,1.840,18,12,16,-0.284177,0.811711,0.510263
47452.453,36026.168,2039.515,1.777,20,18,30,-0.398951,0.793055,0.460328
47462.250,36019.844,2051.306,0.761,32,28,36,0.055077,0.223982,0.973036
47455.938,36024.508,2042.379,1.898,18,12,19,-0.206860,0.920172,0.332403
47455.648,36024.531,2042.246,1.899,18,12,18,0.022945,0.875957,0.481844
47448.000,36028.492,2028.796,0.874,17,12,16,-0.680320,0.590497,0.434140
47447.781,36028.668,2028.104,0.811,18,12,17,-0.698628,0.640274,0.319326
47459.352,36020.887,2051.020,1.229,25,22,28,-0.070131,0.353302,0.932877
47457.672,36023.535,2049.135,1.619,26,21,24,-0.207697,0.513937,0.832305
47454.563,36024.781,2041.942,1.906,17,12,18,0.022409,0.908232,0.417866
47454.270,36024.949,2041.591,1.901,18,12,16,-0.085160,0.806858,0.584575
47454.559,36024.680,2042.744,1.905,19,12,16,0.181776,0.951967,-0.246407
